#EC;PRODUTO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1000670900";"43";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000670900"
"1000670900";"43";"STATUS_SERVICO";"S";"SEM VALOR";"1000670900"
"1000745551";"10";"FATOR_1";"2.99";"SEM VALOR";"1000745551"
"1000745551";"10";"FATOR_2";"0.00";"SEM VALOR";"1000745551"
"1000745551";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000745551"
"1000745551";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000745551"
"1000745551";"20";"FATOR_1";"2.99";"SEM VALOR";"1000745551"
"1000745551";"20";"FATOR_2";"0.00";"SEM VALOR";"1000745551"
"1000745551";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000745551"
"1000745551";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000745551"
"1000745551";"40";"FATOR_1";"2.99";"SEM VALOR";"1000745551"
"1000745551";"40";"FATOR_2";"0.00";"SEM VALOR";"1000745551"
"1000745551";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000745551"
"1000745551";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000745551"
"1000821274";"10";"FATOR_1";"2.99";"SEM VALOR";"1000821274"
"1000821274";"10";"FATOR_2";"0.00";"SEM VALOR";"1000821274"
"1000821274";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000821274"
"1000821274";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000821274"
"1000821274";"20";"FATOR_1";"2.99";"SEM VALOR";"1000821274"
"1000821274";"20";"FATOR_2";"0.00";"SEM VALOR";"1000821274"
"1000821274";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000821274"
"1000821274";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000821274"
"1000821274";"40";"FATOR_1";"2.99";"SEM VALOR";"1000821274"
"1000821274";"40";"FATOR_2";"0.00";"SEM VALOR";"1000821274"
"1000821274";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1000821274"
"1000821274";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000821274"
"1000887780";"10";"FATOR_1";"3.89";"SEM VALOR";"1000887780"
"1000887780";"10";"FATOR_2";"0.00";"SEM VALOR";"1000887780"
"1000887780";"10";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1000887780"
"1000887780";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1000887780"
"1000887780";"20";"FATOR_1";"3.89";"SEM VALOR";"1000887780"
"1000887780";"20";"FATOR_2";"0.00";"SEM VALOR";"1000887780"
"1000887780";"20";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1000887780"
"1000887780";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1000887780"
"1000887780";"40";"FATOR_1";"3.89";"SEM VALOR";"1000887780"
"1000887780";"40";"FATOR_2";"0.00";"SEM VALOR";"1000887780"
"1000887780";"40";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1000887780"
"1000887780";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1000887780"
"1001358632";"10";"FATOR_1";"1.99";"SEM VALOR";"1001358632"
"1001358632";"10";"FATOR_2";"0.00";"SEM VALOR";"1001358632"
"1001358632";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001358632"
"1001358632";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1001358632"
"1001358632";"20";"FATOR_1";"1.99";"SEM VALOR";"1001358632"
"1001358632";"20";"FATOR_2";"0.00";"SEM VALOR";"1001358632"
"1001358632";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001358632"
"1001358632";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1001358632"
"1001358632";"40";"FATOR_1";"1.99";"SEM VALOR";"1001358632"
"1001358632";"40";"FATOR_2";"0.00";"SEM VALOR";"1001358632"
"1001358632";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001358632"
"1001358632";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1001358632"
"1001789315";"10";"FATOR_1";"3.49";"SEM VALOR";"1001789315"
"1001789315";"10";"FATOR_2";"0.00";"SEM VALOR";"1001789315"
"1001789315";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001789315"
"1001789315";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1001789315"
"1001789315";"20";"FATOR_1";"3.49";"SEM VALOR";"1001789315"
"1001789315";"20";"FATOR_2";"0.00";"SEM VALOR";"1001789315"
"1001789315";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001789315"
"1001789315";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1001789315"
"1001789315";"40";"FATOR_1";"3.49";"SEM VALOR";"1001789315"
"1001789315";"40";"FATOR_2";"0.00";"SEM VALOR";"1001789315"
"1001789315";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1001789315"
"1001789315";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1001789315"
